rps_scenario_id,load_zone,year,rps_target
6,CA_LADWP,2047,0.6
6,CA_LADWP,2048,0.6
6,CA_LADWP,2049,0.6
6,CA_LADWP,2050,0.6
6,CA_LADWP,2051,0.6
6,CA_LADWP,2052,0.6
6,CA_LADWP,2053,0.6
6,CA_LADWP,2054,0.6
6,CA_LADWP,2055,0.6
6,CA_LADWP,2056,0.6
6,CA_LADWP,2057,0.6
6,CA_LADWP,2058,0.6
6,CA_LADWP,2059,0.6
6,CA_LADWP,2060,0.6
6,CA_LADWP,2061,0.6
6,CA_LADWP,2062,0.6
6,CA_LADWP,2063,0.6
6,CA_LADWP,2064,0.6
6,CA_LADWP,2065,0.6
6,CA_LADWP,2066,0.6
6,CA_LADWP,2067,0.6
6,CA_LADWP,2068,0.6
6,CA_LADWP,2069,0.6
6,CA_LADWP,2070,0.6
6,CA_LADWP,2071,0.6
6,CA_LADWP,2072,0.6
6,CA_LADWP,2073,0.6
6,CA_LADWP,2074,0.6
6,CA_LADWP,2075,0.6
6,CA_LADWP,2076,0.6
6,CA_LADWP,2077,0.6
6,CA_LADWP,2078,0.6
6,CA_LADWP,2079,0.6
6,CA_LADWP,2080,0.6
6,CAN_ALB,2010,0
6,CAN_ALB,2011,0
6,CAN_ALB,2012,0
6,CAN_ALB,2013,0
6,CAN_ALB,2014,0
6,CAN_ALB,2015,0
6,CAN_ALB,2016,0
6,CAN_ALB,2017,0
6,CAN_ALB,2018,0
6,CAN_ALB,2019,0
6,CAN_ALB,2020,0
6,CAN_ALB,2021,0
6,CAN_ALB,2022,0
6,CAN_ALB,2023,0
6,CAN_ALB,2024,0
6,CAN_ALB,2025,0
6,CAN_ALB,2026,0
6,CAN_ALB,2027,0
6,CAN_ALB,2028,0
6,CAN_ALB,2029,0
6,CAN_ALB,2030,0
6,CAN_ALB,2031,0
6,CAN_ALB,2032,0
6,CAN_ALB,2033,0
6,CAN_ALB,2034,0
6,CAN_ALB,2035,0
6,CAN_ALB,2036,0
6,CAN_ALB,2037,0
6,CAN_ALB,2038,0
6,CAN_ALB,2039,0
6,CAN_ALB,2040,0
6,CAN_ALB,2041,0
6,CAN_ALB,2042,0
6,CAN_ALB,2043,0
6,CAN_ALB,2044,0
6,CAN_ALB,2045,0
6,CAN_ALB,2046,0
6,CAN_ALB,2047,0
6,CAN_ALB,2048,0
6,CAN_ALB,2049,0
6,CAN_ALB,2050,0
6,CAN_ALB,2051,0
6,CAN_ALB,2052,0
6,CAN_ALB,2053,0
6,CAN_ALB,2054,0
6,CAN_ALB,2055,0
6,CAN_ALB,2056,0
6,CAN_ALB,2057,0
6,CAN_ALB,2058,0
6,CAN_ALB,2059,0
6,CAN_ALB,2060,0
6,CAN_ALB,2061,0
6,CAN_ALB,2062,0
6,CAN_ALB,2063,0
6,CAN_ALB,2064,0
6,CAN_ALB,2065,0
6,CAN_ALB,2066,0
6,CAN_ALB,2067,0
6,CAN_ALB,2068,0
6,CAN_ALB,2069,0
6,CAN_ALB,2070,0
6,CAN_ALB,2071,0
6,CAN_ALB,2072,0
6,CAN_ALB,2073,0
6,CAN_ALB,2074,0
6,CAN_ALB,2075,0
6,CAN_ALB,2076,0
6,CAN_ALB,2077,0
6,CAN_ALB,2078,0
6,CAN_ALB,2079,0
6,CAN_ALB,2080,0
6,CAN_BC,2010,0
6,CAN_BC,2011,0
6,CAN_BC,2012,0
6,CAN_BC,2013,0
6,CAN_BC,2014,0
6,CAN_BC,2015,0
6,CAN_BC,2016,0
6,CAN_BC,2017,0
6,CAN_BC,2018,0
6,CAN_BC,2019,0
6,CAN_BC,2020,0
6,CAN_BC,2021,0
6,CAN_BC,2022,0
6,CAN_BC,2023,0
6,CAN_BC,2024,0
6,CAN_BC,2025,0
6,CAN_BC,2026,0
6,CAN_BC,2027,0
6,CAN_BC,2028,0
6,CAN_BC,2029,0
6,CAN_BC,2030,0
6,CAN_BC,2031,0
6,CAN_BC,2032,0
6,CAN_BC,2033,0
6,CAN_BC,2034,0
6,CAN_BC,2035,0
6,CAN_BC,2036,0
6,CAN_BC,2037,0
6,CAN_BC,2038,0
6,CAN_BC,2039,0
6,CAN_BC,2040,0
6,CAN_BC,2041,0
6,CAN_BC,2042,0
6,CAN_BC,2043,0
6,CAN_BC,2044,0
6,CAN_BC,2045,0
6,CAN_BC,2046,0
6,CAN_BC,2047,0
6,CAN_BC,2048,0
6,CAN_BC,2049,0
6,CAN_BC,2050,0
6,CAN_BC,2051,0
6,CAN_BC,2052,0
6,CAN_BC,2053,0
6,CAN_BC,2054,0
6,CAN_BC,2055,0
6,CAN_BC,2056,0
6,CAN_BC,2057,0
6,CAN_BC,2058,0
6,CAN_BC,2059,0
6,CAN_BC,2060,0
6,CAN_BC,2061,0
6,CAN_BC,2062,0
6,CAN_BC,2063,0
6,CAN_BC,2064,0
6,CAN_BC,2065,0
6,CAN_BC,2066,0
6,CAN_BC,2067,0
6,CAN_BC,2068,0
6,CAN_BC,2069,0
6,CAN_BC,2070,0
6,CAN_BC,2071,0
6,CAN_BC,2072,0
6,CAN_BC,2073,0
6,CAN_BC,2074,0
6,CAN_BC,2075,0
6,CAN_BC,2076,0
6,CAN_BC,2077,0
6,CAN_BC,2078,0
6,CAN_BC,2079,0
6,CAN_BC,2080,0
6,CA_PGE_BAY,2010,0.2
6,CA_PGE_BAY,2011,0.2
6,CA_PGE_BAY,2012,0.2
6,CA_PGE_BAY,2013,0.2
6,CA_PGE_BAY,2014,0.216667
6,CA_PGE_BAY,2015,0.233333
6,CA_PGE_BAY,2016,0.25
6,CA_PGE_BAY,2017,0.27
6,CA_PGE_BAY,2018,0.29
6,CA_PGE_BAY,2019,0.31
6,CA_PGE_BAY,2020,0.33
6,CA_PGE_BAY,2021,0.347
6,CA_PGE_BAY,2022,0.364
6,CA_PGE_BAY,2023,0.381
6,CA_PGE_BAY,2024,0.44
6,CA_PGE_BAY,2025,0.47
6,CA_PGE_BAY,2026,0.5
6,CA_PGE_BAY,2027,0.52
6,CA_PGE_BAY,2028,0.55
6,CA_PGE_BAY,2029,0.57
6,CA_PGE_BAY,2030,0.6
6,CA_PGE_BAY,2031,0.6
6,CA_PGE_BAY,2032,0.6
6,CA_PGE_BAY,2033,0.6
6,CA_PGE_BAY,2034,0.6
6,CA_PGE_BAY,2035,0.6
6,CA_PGE_BAY,2036,0.6
6,CA_PGE_BAY,2037,0.6
6,CA_PGE_BAY,2038,0.6
6,CA_PGE_BAY,2039,0.6
6,CA_PGE_BAY,2040,0.6
6,CA_PGE_BAY,2041,0.6
6,CA_PGE_BAY,2042,0.6
6,CA_PGE_BAY,2043,0.6
6,CA_PGE_BAY,2044,0.6
6,CA_PGE_BAY,2045,0.6
6,CA_PGE_BAY,2046,0.6
6,CA_PGE_BAY,2047,0.6
6,CA_PGE_BAY,2048,0.6
6,CA_PGE_BAY,2049,0.6
6,CA_PGE_BAY,2050,0.6
6,CA_PGE_BAY,2051,0.6
6,CA_PGE_BAY,2052,0.6
6,CA_PGE_BAY,2053,0.6
6,CA_PGE_BAY,2054,0.6
6,CA_PGE_BAY,2055,0.6
6,CA_PGE_BAY,2056,0.6
6,CA_PGE_BAY,2057,0.6
