PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralTrackingPV_1_na	.	CentralTrackingPV	Oahu	34664.84498	0.094138388	.
Oahu_CentralTrackingPV_200_na	.	CentralTrackingPV	Oahu	16975.65969	6.893289569	.
Oahu_CentralTrackingPV_201_na	.	CentralTrackingPV	Oahu	16861.31932	3.168493056	.
Oahu_CentralTrackingPV_202_na	.	CentralTrackingPV	Oahu	16808.00517	4.639082419	.
Oahu_CentralTrackingPV_203_na	.	CentralTrackingPV	Oahu	16868.28582	0.821396104	.
Oahu_CentralTrackingPV_204_na	.	CentralTrackingPV	Oahu	16987.22582	1.346395024	.
Oahu_CentralTrackingPV_205_na	.	CentralTrackingPV	Oahu	17160.9989	3.493357932	.
Oahu_CentralTrackingPV_206_na	.	CentralTrackingPV	Oahu	17391.79544	12.7148525	.
Oahu_CentralTrackingPV_207_na	.	CentralTrackingPV	Oahu	17672.36907	8.702380149	.
Oahu_CentralTrackingPV_208_na	.	CentralTrackingPV	Oahu	18002.5507	15.35576397	.
Oahu_CentralTrackingPV_209_na	.	CentralTrackingPV	Oahu	18384.16037	11.47993708	.
Oahu_CentralTrackingPV_20_na	.	CentralTrackingPV	Oahu	32228.36124	1.991767327	.
Oahu_CentralTrackingPV_210_na	.	CentralTrackingPV	Oahu	18805.86691	8.207579507	.
Oahu_CentralTrackingPV_211_na	.	CentralTrackingPV	Oahu	19274.18233	0.10584	.
Oahu_CentralTrackingPV_212_na	.	CentralTrackingPV	Oahu	19775.78018	1.961844095	.
Oahu_CentralTrackingPV_213_na	.	CentralTrackingPV	Oahu	20319.02887	23.51144826	.
Oahu_CentralTrackingPV_214_na	.	CentralTrackingPV	Oahu	20889.0985	22.19664413	.
Oahu_CentralTrackingPV_215_na	.	CentralTrackingPV	Oahu	22777.54094	16.9570356	.
Oahu_CentralTrackingPV_216_na	.	CentralTrackingPV	Oahu	23461.81687	50.99769489	.
Oahu_CentralTrackingPV_217_na	.	CentralTrackingPV	Oahu	24159.83994	56.13180206	.
Oahu_CentralTrackingPV_218_na	.	CentralTrackingPV	Oahu	24877.30045	27.96664382	.
Oahu_CentralTrackingPV_219_na	.	CentralTrackingPV	Oahu	25620.92187	41.37999119	.
Oahu_CentralTrackingPV_21_na	.	CentralTrackingPV	Oahu	36585.77042	0.079941725	.
Oahu_CentralTrackingPV_220_na	.	CentralTrackingPV	Oahu	26372.67662	32.90632187	.
Oahu_CentralTrackingPV_221_na	.	CentralTrackingPV	Oahu	27139.37587	32.93553172	.
Oahu_CentralTrackingPV_222_na	.	CentralTrackingPV	Oahu	27928.6308	20.30455447	.
Oahu_CentralTrackingPV_223_na	.	CentralTrackingPV	Oahu	28721.77448	26.59923154	.
